Mã học phần,Tên học phần,Số tín chỉ,Loại học phần,Ngành,Học kỳ 1 (2022-2023)
CT173,Kiến trúc máy tính,3,2,Công nghệ thông tin,Học kỳ 1 (2022-2023)
CT178,Nguyên lý hệ điều hành,3,2,Công nghệ thông tin,Học kỳ 1 (2022-2023)
CT112,Mạng máy tính,3,2,Công nghệ thông tin,Học kỳ 1 (2022-2023)
CT176,Lập trình hướng đối tượng,3,2,Công nghệ thông tin,Học kỳ 1 (2022-2023)
CT179,Quản trị hệ thống,3,2,Công nghệ thông tin,Học kỳ 1 (2022-2023)
CT188,Nhập môn lập trình web,3,2,Công nghệ thông tin,Học kỳ 1 (2022-2023)
